Temp,Turbidity,Dissolved_O2,pH,Ammonia
24.875,84,0,0.82096,inf
24.875,84,3.423,0.44419,inf
24.875,84,0,0.998,inf
24.875,84,3.296,1.13873,inf
24.875,84,3.085,0.80735,inf
24.875,84,0,2.30537,inf
24.875,84,3.11,0.60307,inf
24.875,84,4.09,0.74833,inf
24.8125,84,1.419,1.59267,inf
24.875,84,7.623,2.12833,inf
24.875,84,1.462,1.93767,inf
24.875,84,3.118,1.3657,inf
24.875,84,3.135,1.5155,inf
24.875,86,0,1.11149,inf
24.875,84,0,1.79695,inf
24.875,84,0,1.23859,inf
24.875,84,0,1.22952,inf
24.875,84,1.318,1.86504,inf
24.8125,83,0,1.57905,inf
24.875,84,0,1.07971,inf
24.875,84,3.068,1.57905,inf
24.875,84,4.623,2.25543,inf
24.8125,84,0,0.96623,inf
24.875,84,4.631,2.30537,inf
24.8125,85,1.546,1.45195,inf
24.875,83,8.604,2.25543,inf
24.8125,83,4.724,2.30083,inf
24.8125,82,0,0.94353,inf
24.8125,82,0,0.97531,inf
24.8125,82,29.388,2.23274,inf
24.8125,82,14.14,1.93313,inf
24.875,82,0,0.68478,inf
24.875,82,3.423,0.95715,inf
24.875,82,0,0.97077,inf
24.8125,82,3.659,1.07517,inf
24.8125,82,3.009,1.7107,inf
24.875,82,0,1.31577,inf
24.875,81,3.118,1.07517,inf
24.875,81,24.257,2.45063,inf
24.875,81,2.358,0.91175,inf
24.875,81,3.135,1.93313,inf
24.875,81,0,1.16596,inf
24.875,81,0,0.65754,inf
24.875,81,0,0.77103,inf
24.8125,81,0,1.64261,inf
24.875,81,1.031,0.05379,inf
24.875,81,1.411,0.70294,inf
24.8125,81,4.978,2.00122,inf
24.875,82,6.93,0.19906,inf
24.875,81,3.516,0.8482,inf
24.8125,82,3.042,1.75155,inf
24.875,82,3.862,2.08293,inf
24.875,82,0,0.40333,inf
24.8125,82,26.362,2.08293,inf
24.8125,82,1.555,0.60307,inf
24.875,82,5.138,1.0207,inf
24.8125,82,1.529,1.37024,inf
24.8125,82,5.967,2.21912,inf
24.8125,81,0,0.45781,inf
24.875,81,3.245,0.41695,inf
24.875,81,1.149,2.09655,inf
24.875,80,35.499,1.84234,inf
24.8125,80,3.118,1.18866,inf
24.875,80,2.341,2.08293,inf
24.875,80,10.277,2.16918,inf
24.875,80,1.479,1.27037,inf
24.8125,80,3.397,0.61669,inf
24.8125,80,0,0.73017,inf
24.8125,80,0,0.38064,inf
24.8125,80,1.622,1.47919,inf
24.875,80,1.504,1.57905,inf
24.875,80,1.808,1.59267,inf
24.8125,80,0,0.88452,inf
24.875,80,3.101,1.43833,inf
24.875,80,0,0.6984,inf
24.875,80,7.285,2.00576,inf
24.8125,80,1.217,0.58491,inf
24.8125,83,20.04,2.15103,inf
24.75,81,3.068,2.10563,inf
24.8125,81,1.572,0.90721,inf
24.8125,81,0,0.44419,inf
24.75,80,27.25,1.78333,inf
24.75,81,0,0.1809,inf
24.75,80,0,0.76649,inf
24.75,80,8.038,1.82872,inf
24.75,80,9.06,1.88774,inf
24.75,80,7.311,0.35794,inf
24.8125,80,1.639,1.29307,inf
24.8125,79,3.465,0.31708,inf
24.8125,80,15.323,1.58359,inf
24.75,80,0,0.66208,inf
24.75,80,1.479,1.23405,inf
24.8125,79,0,0.95715,inf
24.75,79,9.762,2.20096,inf
24.75,80,0,0.82096,inf
24.75,80,3.068,2.45063,inf
24.75,80,0,1.07517,inf
24.75,80,0,0.94807,inf
24.75,80,0,1.1478,inf
24.8125,80,2.958,1.91951,inf
24.8125,80,1.479,1.57905,inf
24.75,80,3.617,1.47465,inf
24.75,81,0,0.65754,inf
24.8125,82,0,0.97531,inf
24.8125,81,25.441,2.12833,inf
24.75,79,0,0.34432,inf
24.75,79,27.089,1.78333,inf
24.75,80,0,0.27623,inf
24.75,80,5.747,1.66076,inf
24.8125,82,3.237,1.12965,inf
24.75,79,8.342,2.15103,inf
24.75,79,1.343,1.91044,inf
24.75,79,3.245,0.75741,inf
24.75,80,0,0.1355,inf
24.75,79,1.656,1.96037,inf
24.75,79,1.386,1.96945,inf
24.75,79,0,0.66662,inf
24.75,79,3.237,0.56675,inf
24.75,79,1.369,1.28853,inf
24.75,79,0,0.39425,inf
24.75,79,1.377,1.94675,inf
24.75,80,10.227,2.16011,inf
24.75,78,7.023,0.75287,inf
24.75,80,2.966,1.01162,inf
24.75,80,28.162,2.07386,inf
24.75,79,0,0.43965,inf
24.75,79,0,0.71202,inf
24.75,79,3.33,1.01162,inf
24.75,79,31.543,1.38386,inf
24.8125,79,3.862,0.44873,inf
24.75,79,5.629,2.13741,inf
24.75,79,1.698,1.26583,inf
24.75,79,2.045,0.64392,inf
24.75,79,3.279,1.84688,inf
24.75,79,4.682,1.60629,inf
24.75,79,27.072,2.04208,inf
24.75,80,3.135,1.91044,inf
24.8125,79,25.187,2.24636,inf
24.8125,79,1.614,-0.00976,inf
24.75,79,0,1.80149,inf
24.8125,79,1.436,0.78919,inf
24.8125,79,3.135,1.96491,inf
24.8125,79,0,1.14327,inf
24.8125,79,18.172,1.98761,inf
24.75,79,0,0.63031,inf
24.75,79,0,0.12643,inf
24.75,79,1.622,0.8936,inf
24.8125,79,1.411,1.52912,inf
24.8125,78,3.203,0.653,inf
24.8125,78,0,0.43057,inf
24.8125,78,18.282,1.71978,inf
24.75,78,25.737,1.55636,inf
24.8125,78,1.783,1.44741,inf
24.8125,78,0,0.653,inf
24.8125,78,1.597,1.72432,inf
24.75,78,1.555,1.8832,inf
24.75,78,9.821,1.84234,inf
24.8125,79,17.538,1.7334,inf
24.8125,78,3.017,2.12833,inf
24.75,78,2.341,0.47142,inf
24.8125,78,3.017,1.21136,inf
24.75,79,3.245,0.46689,inf
24.75,79,0,0.87544,inf
24.75,78,1.69,1.76971,inf
24.75,79,0,0.83912,inf
24.75,79,5.079,1.37478,inf
24.75,80,1.546,1.62899,inf
24.75,80,31.966,1.79695,inf
24.75,79,3.228,0.51228,inf
24.6875,79,3.135,-0.1641,inf
24.6875,80,28.517,1.37024,inf
24.75,79,3.989,-0.1868,inf
24.75,79,1.715,1.24767,inf
24.75,79,0,0.19906,inf
24.75,79,1.682,0.8482,inf
24.8125,79,0,0.51682,inf
24.8125,79,10.396,2.03754,inf
24.8125,79,3.296,0.11281,inf
24.75,79,3.296,0.57129,inf
24.8125,79,0,0.46689,inf
24.75,79,1.386,1.80149,inf
24.75,80,9.179,2.24636,inf
24.75,80,9.508,2.24182,inf
24.75,80,1.529,1.43379,inf
24.75,80,28.864,1.86504,inf
24.75,80,13.836,2.11925,inf
24.75,80,19.71,2.15103,inf
24.75,80,3.152,0.98892,inf
24.75,80,2.789,2.11017,inf
24.75,80,13.439,1.97399,inf
24.6875,80,1.318,1.72886,inf
24.75,80,3.161,0.5032,inf
24.75,79,0.363,0.998,inf
24.6875,82,3.042,0.65754,inf
24.75,80,0,0.56221,inf
24.6875,80,3.161,2.03754,inf
24.6875,80,3.803,-0.17318,inf
24.75,80,0,0.53952,inf
24.75,80,3.025,1.56544,inf
24.75,80,1.242,2.17372,inf
24.75,81,1.149,1.86958,inf
24.75,80,22.102,2.27813,inf
24.75,80,0,1.2159,inf
24.75,80,1.014,2.0557,inf
24.75,80,36.708,2.1828,inf
24.75,80,2.713,1.8378,inf
24.6875,80,1.335,1.27945,inf
24.6875,81,0,1.25675,inf
24.75,80,0,1.10241,inf
24.6875,80,0.794,1.35662,inf
24.75,80,0,0.70748,inf
24.6875,80,3.482,0.56221,inf
24.75,80,3.101,0.53952,inf
24.75,80,3.237,0.85274,inf
24.75,80,3.482,0.55314,inf
24.75,80,1.47,1.72886,inf
24.75,80,1.31,2.00122,inf
24.75,80,0,0.41695,inf
24.75,80,4.775,2.17372,inf
24.75,80,2.992,1.28853,inf
24.6875,80,0,0.81188,inf
24.6875,80,1.47,0.89813,inf
24.6875,80,1.546,1.09333,inf
24.75,80,0,-0.02792,inf
24.75,80,1.318,1.52004,inf
24.6875,80,5.443,1.98307,inf
24.75,80,13.456,2.12833,inf
24.75,80,0,0.34432,inf
24.6875,80,6.432,1.82419,inf
24.6875,80,7.53,0.70294,inf
24.6875,79,26.971,2.23274,inf
24.625,79,0,0.75741,inf
24.6875,79,0,0.3307,inf
24.6875,79,1.377,1.64715,inf
24.6875,79,3.228,0.5486,inf
24.75,79,25.745,1.88774,inf
24.75,79,0,0.95715,inf
24.6875,79,30.174,1.35662,inf
24.6875,79,2.806,0.95261,inf
24.6875,79,29.921,1.86958,inf
24.6875,79,2.932,0.74833,inf
24.6875,79,1.25,2.06478,inf
24.6875,80,35.693,1.86504,inf
24.625,79,0.202,0.45327,inf
24.6875,79,3.693,2.24636,inf
24.6875,80,0,1.12965,inf
24.6875,82,1.327,2.11925,inf
24.6875,80,1.462,1.77425,inf
24.6875,80,4.488,0.34432,inf
24.6875,80,1.225,1.91044,inf
24.6875,80,1.386,1.69708,inf
24.6875,80,3.152,0.6757,inf
24.6875,80,3.228,0.56221,inf
24.625,80,0,1.1478,inf
24.6875,80,2.932,0.8936,inf
24.625,80,12.872,2.35076,inf
24.6875,82,2.975,1.28853,inf
24.6875,81,0,0.78465,inf
24.625,81,1.327,1.55636,inf
24.6875,81,0,0.63485,inf
24.625,81,0,0.68478,inf
24.625,82,5.443,1.14327,inf
24.6875,81,1.791,2.16011,inf
24.625,81,3.059,0.97984,inf
24.625,81,0,1.07063,inf
24.6875,81,2.958,1.3203,inf
24.625,81,0,1.08879,inf
24.625,81,0,1.23859,inf
24.625,82,1.512,1.94675,inf
24.625,81,1.386,1.8605,inf
24.6875,81,1.563,2.08747,inf
24.625,81,0,1.1705,inf
24.6875,82,0,0.93445,inf
24.625,82,3.245,1.23859,inf
24.6875,82,27.343,2.14195,inf
24.625,82,2.806,0.93445,inf
24.625,82,3.609,0.79373,inf
24.6875,82,1.242,1.33392,inf
24.625,82,4.319,0.57583,inf
24.625,82,0,1.28853,inf
24.625,82,1.157,2.21004,inf
24.625,82,37.232,1.2159,inf
24.625,82,5.147,0.58491,inf
24.625,82,0,1.05702,inf
24.6875,82,0,0.83458,inf
24.625,82,1.149,2.29629,inf
24.6875,82,0,1.06609,inf
24.6875,82,3.245,1.23405,inf
24.625,82,22.821,2.10109,inf
24.6875,82,2.831,1.43379,inf
24.75,82,4.192,2.21458,inf
24.6875,82,2.628,2.2282,inf
24.6875,82,22.288,1.8832,inf
24.625,82,0,0.79373,inf
24.6875,83,2.907,1.22498,inf
24.6875,82,20.834,1.91044,inf
24.6875,83,1.149,2.30991,inf
24.6875,84,0,1.24313,inf
24.6875,83,3.296,1.0207,inf
24.6875,82,0,0.53952,inf
24.6875,83,17.073,1.66076,inf
24.6875,84,3.795,2.06024,inf
24.6875,83,1.217,2.03754,inf
24.6875,82,2.992,0.86636,inf
24.6875,82,25.889,1.28853,inf
24.625,83,6.93,0.5032,inf
24.625,83,31.805,1.75155,inf
24.625,83,0,1.31123,inf
24.6875,83,1.267,2.2282,inf
24.625,85,0.828,2.28721,inf
24.6875,83,0,1.86958,inf
24.6875,83,1.343,2.21004,inf
24.625,83,2.341,1.24313,inf
24.625,83,29.549,1.45649,inf
24.6875,83,1.944,0.99346,inf
24.625,83,1.715,1.12057,inf
24.625,83,3.82,-0.30936,inf
24.625,83,1.47,1.71978,inf
24.625,83,3.135,0.33524,inf
24.625,83,0,1.17504,inf
24.625,83,1.622,1.72432,inf
24.6875,83,4.006,0.41695,inf
24.6875,83,1.47,2.00122,inf
24.6875,83,0,1.29307,inf
24.6875,83,2.535,-0.20496,inf
24.6875,83,2.823,0.23991,inf
24.625,83,3.6,1.92859,inf
24.625,83,3.237,0.71202,inf
24.625,83,1.31,1.82872,inf
24.6875,83,3.803,2.03754,inf
24.6875,83,3.702,0.92991,inf
24.625,83,0,0.53952,inf
24.625,83,3.059,0.22175,inf
24.6875,83,2.637,1.24767,inf
24.625,83,0.016,2.12833,inf
24.625,82,2.831,0.97531,inf
24.625,83,2.67,1.28853,inf
24.625,83,2.814,0.71202,inf
24.625,82,3.304,0.998,inf
24.625,82,0,1.3657,inf
24.625,82,0,0.81188,inf
24.625,82,2.916,2.23274,inf
24.6875,82,0,0.74833,inf
24.6875,82,24.714,1.94221,inf
24.6875,82,0,1.28853,inf
24.625,82,17.065,0.84366,inf
24.625,82,22.626,1.96491,inf
24.625,82,4.53,0.56221,inf
24.6875,82,0,0.63938,inf
24.625,82,1.124,1.72432,inf
24.625,82,29.354,1.03886,inf
24.625,82,0.828,2.06024,inf
24.625,82,1.622,0.8936,inf
24.625,85,22.804,1.46103,924435328
24.625,82,0,0.47596,inf
24.6875,82,19.119,1.86958,inf
24.625,82,0,1.53366,inf
24.625,83,1.369,1.84688,inf
24.625,83,0.87,1.96491,inf
24.625,83,22.33,2.01484,inf
24.6875,83,0,1.28853,inf
24.625,83,2.806,0.85274,inf
24.625,83,0,0.59399,inf
24.6875,83,1.563,1.6653,inf
24.625,83,0,0.73925,inf
24.5625,83,6.753,1.91951,inf
24.625,83,1.563,1.10241,inf
24.625,83,24.004,1.63807,inf
24.625,83,0.456,1.94675,inf
24.625,83,0,2.08747,inf
24.6875,83,6.432,2.09201,inf
24.625,83,5.443,2.01484,inf
24.625,82,5.586,2.16464,inf
24.625,82,1.428,1.86958,inf
24.6875,82,9.407,1.75609,inf
24.5625,82,0,0.98892,inf
24.625,82,1.318,1.82872,inf
24.625,81,1.47,1.51096,inf
24.625,81,3.025,0.27169,inf
24.625,81,0,0.40333,inf
24.625,81,0,0.51228,inf
24.625,81,0,0.84366,inf
24.625,81,22.584,1.96945,inf
24.625,81,3.11,0.64846,inf
24.625,81,1.327,1.94675,inf
24.625,81,3.042,0.41241,inf
24.625,81,0,1.32938,inf
24.625,81,12.855,1.71524,inf
24.625,81,12.247,0.65754,inf
24.625,81,15.526,0.85274,inf
24.625,81,3.271,0.51228,inf
24.625,80,1.242,0.44419,inf
24.625,80,0,1.96037,inf
24.625,80,11.216,1.24767,inf
24.6875,80,1.141,2.29629,inf
24.625,81,20.97,1.25675,inf
24.6875,81,2.696,0.90267,inf
24.625,80,2.949,0.80281,inf
24.6875,80,0,2.06478,inf
24.625,80,2.992,1.14327,inf
24.625,80,0,1.47465,inf
24.6875,80,24.672,1.57905,inf
24.6875,80,2.949,0.58037,inf
24.6875,80,3.6,0.56221,inf
24.6875,80,2.916,0.82096,inf
24.625,80,2.831,1.08879,inf
24.625,80,4.251,2.11017,inf
24.625,80,1.217,1.46557,20506310
24.625,80,2.814,0.48958,97447200
24.6875,80,1.318,2.033,460470272
24.6875,80,14.512,1.64715,172879088
24.625,80,2.806,0.94807,12036125
24.625,80,2.806,0.92537,45096580
24.625,80,1.36,1.96037,65038040
24.6875,80,6.516,2.29175,2773230848
24.625,80,2.645,1.41563,339016704
24.625,80,1.149,1.89682,45096580
24.6875,80,2.687,1.14327,25556464
24.625,80,4.682,0.78011,97447200
24.625,80,0,0.79373,223191584
24.625,80,12.771,1.97399,1719739648
24.625,80,1.141,1.96491,196011504
24.625,80,4.623,2.06478,34995800
24.625,81,2.07,0.41695,inf
24.625,80,1.031,1.69708,inf
24.625,81,2.299,2.09655,inf
24.625,81,0,0.74833,inf
24.625,81,1.36,1.07063,inf
24.625,81,0,0.89813,inf
24.625,81,8.95,2.08747,inf
24.625,81,1.09,1.72886,inf
24.6875,81,0,0.60761,inf
24.625,81,21.891,1.76517,inf
24.625,81,0,1.84688,inf
24.625,81,2.865,1.69708,108567952
24.625,81,2.806,0.78465,34995800
24.625,81,19.643,1.91497,14575244
24.625,81,2.138,1.85142,339016704
24.625,81,8.24,1.6653,255279632
24.625,81,2.907,1.37024,23714966
24.625,81,23.023,1.27945,79191472
24.625,81,0,0.83004,19449161728
24.625,81,1.428,0.53952,19449161728
24.6875,81,3.186,1.48826,1382594688
24.75,81,3,1.72886,inf
24.6875,81,0,0.62577,inf
24.6875,81,1.343,0.48958,inf
24.6875,81,0,0.73017,inf
24.625,81,2.755,1.7107,3608207616
24.6875,81,0,1.72432,inf
24.6875,81,2.079,1.93313,inf
24.6875,81,2.476,1.91951,inf
24.625,81,0,0.04472,inf
24.625,81,1.977,1.0207,inf
24.6875,81,21.984,1.72432,inf
24.625,81,2.966,0.55767,
24.625,81,0,0.77557,inf
24.6875,81,4.555,1.96491,inf
24.6875,81,1.183,1.87866,inf
24.625,81,2.856,0.94807,inf
24.6875,82,22.728,1.96037,924435328
24.625,81,1.563,0.58491,inf
24.625,81,2.975,1.07517,inf
24.625,81,0,0.79373,inf
24.625,80,2.873,1.11603,inf
24.6875,80,1.327,1.80149,inf
24.6875,81,23.463,2.02846,inf
24.6875,81,2.814,0.68478,inf
24.625,81,0.972,1.71524,inf
24.625,81,4.099,0.8936,inf
24.625,81,0,0.58491,inf
24.5625,81,1.69,0.34886,inf
24.6875,81,1.318,0.68932,inf
24.625,81,20.209,1.76971,inf
24.625,81,0,2.00576,inf
24.6875,81,0,-0.29574,inf
24.6875,82,2.662,1.63807,inf
24.6875,79,2.755,0.66208,inf
24.75,79,2.62,0.81188,inf
24.625,79,2.527,0.52136,inf
24.6875,79,2.806,0.18544,inf
24.6875,79,1.47,1.57905,inf
24.625,80,21.789,1.78333,inf
24.625,80,5.51,1.8605,inf
24.625,80,2.949,0.24445,inf
24.625,80,0,1.35662,inf
24.6875,80,7.759,1.92859,inf
24.6875,81,3.101,0.16728,inf
24.6875,81,0,0.48958,inf
24.6875,80,0,1.57905,inf
24.625,80,3.533,0.83912,inf
24.6875,81,1.149,1.94221,inf
24.6875,81,2.594,0.86182,inf
24.6875,81,20.369,1.35662,inf
24.6875,80,0,0.57129,inf
24.6875,81,3.237,0.76649,inf
24.6875,81,5.865,1.43379,inf
24.6875,80,11.571,1.7107,inf
24.6875,80,4.488,1.72886,inf
24.6875,80,0,0.86636,inf
24.6875,80,1.36,1.2159,inf
24.6875,80,3.101,0.83458,inf
24.6875,79,2.907,0.45781,inf
24.6875,79,0,-0.02338,inf
24.6875,79,19.998,1.66984,inf
24.6875,79,0,0.58945,inf
24.6875,82,1.132,1.69254,inf
24.6875,82,1.09,2.07386,inf
24.625,82,0,1.13873,4.26544E+11
24.6875,82,3.017,-0.02792,inf
24.6875,82,17.994,1.72432,inf
24.6875,82,8.384,1.70616,inf
24.6875,81,0,1.54274,inf
24.625,82,2.907,0.74833,inf
24.625,82,2.873,1.01162,inf
24.625,82,1.157,1.84688,inf
24.6875,81,2.907,0.33524,inf
24.6875,80,2.899,0.39879,inf
24.625,80,9.077,1.79695,inf
24.6875,80,5.426,0.69386,inf
24.6875,79,8.984,1.87866,inf
24.6875,79,0,0.33978,inf
24.6875,79,1.267,1.20228,inf
24.6875,79,2.713,2.01938,inf
24.6875,75,0,1.21136,inf
24.6875,75,16.887,1.15688,inf
24.6875,75,24.452,1.87412,inf
24.6875,81,5.468,1.79695,inf
24.6875,79,2.839,1.86958,inf
24.625,79,1.343,0.38517,inf
24.6875,79,20.091,1.80603,inf
24.6875,80,0,0.66662,inf
24.6875,81,5.561,0.92991,inf
24.6875,82,2.975,1.13419,inf
24.6875,82,0,0.90267,inf
24.625,82,0,0.24899,inf
24.6875,82,10.717,0.51682,inf
24.625,81,0,0.85274,inf
24.6875,80,11.19,1.60629,inf
24.6875,78,0,0.65754,inf
24.6875,75,1.876,-0.4637,inf
24.6875,71,2.738,1.23859,inf
24.6875,69,4.53,0.5486,inf
24.6875,69,2.036,1.54728,inf
24.6875,69,0,0.42149,inf
24.6875,67,1.149,1.62445,inf
24.6875,67,2.637,1.8832,inf
24.625,58,2.036,1.04794,inf
24.6875,57,2.772,0.94807,inf
24.625,52,0,0.70294,inf
24.6875,52,0,0.83004,inf
24.6875,51,4.674,0.0311,inf
24.6875,45,0,1.43379,inf
24.6875,54,1.479,1.86958,inf
24.6875,62,1.2,1.89228,inf
24.6875,61,1.639,1.95583,inf
24.6875,43,9.162,1.75155,inf
24.6875,34,4.209,0.86636,inf
24.6875,68,0,1.03886,inf
24.625,75,2.882,0.61215,inf
24.6875,71,1.901,0.94353,inf
24.6875,65,2.966,0.76649,inf
24.6875,48,0,1.33392,inf
24.6875,20,2.163,1.00254,inf
24.75,21,18.603,0.44419,inf
24.75,17,0,1.27945,inf
24.625,47,7.125,0.5486,inf
24.6875,70,14.529,1.05702,inf
24.6875,67,0,1.79241,inf
24.6875,73,6.187,1.35662,inf
24.6875,75,1.31,1.79695,inf
24.6875,76,1.327,1.79241,inf
24.6875,77,0,1.02978,inf
24.6875,79,11.402,1.28399,inf
24.6875,79,0,1.78787,inf
24.6875,79,15.492,0.71202,inf
24.6875,79,3,0.60307,inf
24.6875,79,0,1.78333,inf
24.6875,79,19.507,1.01616,inf
24.75,79,9.855,1.57905,inf
24.75,79,2.806,0.53498,inf
24.6875,78,18.375,1.52912,inf
24.75,77,0,1.40201,inf
24.6875,76,0,0.6757,inf
24.6875,74,0,0.84366,inf
24.6875,41,1.842,1.56544,inf
24.75,57,2.907,1.12057,inf
24.75,51,0,1.27491,inf
24.75,54,1.335,1.87866,inf
24.75,20,2.645,0.74833,inf
24.75,70,0,1.20682,inf
24.75,73,0,0.85274,inf
24.75,51,2.992,0.86182,inf
24.75,17,0,0.43057,inf
24.75,17,3.718,0.56221,inf
24.8125,12,1.741,0.83912,inf
24.8125,12,0.059,1.58359,inf
24.8125,11,0,0.68478,inf
24.8125,11,0,0.78011,inf
24.75,11,4.124,0.85728,inf
24.8125,11,20.97,1.80603,inf
24.8125,10,1.572,0.76649,inf
24.875,9,2.916,1.87412,inf
24.8125,9,3.042,1.91951,inf
24.8125,9,0,1.06156,inf
24.8125,9,2.966,1.89228,inf
24.875,8,1.141,1.16596,inf
24.875,8,0,1.24313,inf
24.8125,8,0,0.998,inf
24.8125,8,3.575,1.1478,inf
24.8125,11,3.245,1.28853,inf
24.8125,6,1.2,1.31123,inf
24.8125,5,6.06,1.91951,inf
24.8125,4,2.823,0.98438,inf
24.875,6,0,1.03886,inf
24.8125,22,1.665,1.06609,inf
24.875,16,13.591,2.12833,inf
24.875,-1,2.121,1.58359,inf
24.875,-3,1.648,1.72432,inf
24.875,55,1.648,1.73794,inf
24.875,48,2.383,1.15688,inf
24.875,65,0,1.19774,inf
24.8125,24,0,-0.79963,inf
24.875,27,0,0.33978,inf
24.8125,43,3.6,1.18866,inf
24.875,68,2.079,1.71524,inf
24.875,73,11.419,1.24767,inf
24.875,1,4.547,0.8255,inf
24.875,-4,3.304,1.00254,inf
24.875,-10,15.839,2.01484,inf
24.875,-10,7.032,1.28853,inf
24.875,-6,0,0.28077,inf
24.875,-11,0,0.1355,inf
24.875,-8,2.484,0.85728,inf
24.875,-8,0,0.56221,inf
24.875,-8,0,1.07971,inf
24.875,-8,2.789,1.22952,inf
24.875,-9,2.831,0.75741,inf
24.875,-10,1.969,1.5382,inf
24.875,-10,2.916,2.0103,inf
24.9375,-11,3.017,1.13873,inf
24.875,-10,1.572,1.97853,inf
24.875,-11,1.665,2.06024,inf
24.875,-10,3,2.15103,inf
24.9375,-12,0,1.16596,inf
24.9375,-12,2.806,1.27945,inf
24.875,-13,0,1.26583,inf
24.9375,-12,1.512,1.57905,inf
24.9375,-12,3.296,0.46689,inf
24.9375,-9,1.267,1.76063,inf
24.875,9,0,0.56221,inf
24.9375,7,3.321,1.06156,inf
24.9375,62,1.783,0.68024,inf
24.9375,66,14.351,0.98892,inf
24.875,68,7.97,1.1478,inf
24.875,69,3.44,0.42603,inf
24.875,72,0,1.18412,inf
24.875,72,4.031,0.29439,inf
24.875,74,0,1.11603,inf
24.875,75,0,0.56221,inf
24.875,77,0,1.15688,inf
24.875,77,4.158,1.08425,inf
24.9375,78,0,0.80735,inf
24.875,77,0,1.96945,inf
24.875,77,0,0.93445,inf
24.875,76,2.121,0.82096,inf
24.875,76,0,0.98892,inf
24.875,76,0,0.78919,inf
24.875,73,3.659,0.94353,inf
24.875,72,3.245,0.78465,inf
24.875,68,0,0.61215,inf
24.9375,43,0,0.83912,inf
24.9375,51,2.932,1.03886,inf
24.9375,44,11.047,1.81511,inf
24.9375,45,13.887,2.14649,inf
25,48,1.617,1.61991,inf
24.9375,48,1.783,1.72432,inf
24.9375,71,0,1.35662,inf
25,71,7.192,2.09201,inf
24.9375,71,19.592,1.77879,inf
24.9375,57,1.851,1.77425,inf
25,17,0,1.11603,inf
25,44,2.811,1.28853,inf
25,60,1.569,2.29629,inf
25,66,2.947,1.90136,inf
25,67,19.872,2.07386,inf
25.0625,48,10.004,1.26583,inf
25,17,6.271,1.91497,inf
25.0625,18,0,1.33392,inf
25.0625,42,2.883,1.57905,inf
25,33,0,0.90267,inf
25.0625,43,16.884,2.13741,inf
25.0625,37,2.779,1.55182,inf
25.0625,49,2.442,1.15688,inf
25,40,0,1.51096,inf
25,51,0,1.51096,inf
25,49,2.971,1.0434,inf
25.0625,51,0,1.55636,inf
25.0625,24,0,1.57451,inf
25,55,1.786,0.8936,inf
25.0625,16,4.845,1.33392,inf
25.0625,21,3.908,1.6653,inf
25.0625,25,2.611,1.29761,inf
25.0625,19,2.987,1.45649,inf
25.0625,3,3.275,1.67438,inf
25.0625,-2,2.971,1.70162,inf
25.0625,-5,7.176,1.56998,inf
25.0625,-2,2.394,1.61991,inf
25.0625,-5,2.707,1.5155,inf
25.125,-4,2.971,1.58813,inf
25.0625,-4,2.883,1.70616,inf
25.0625,-4,3.035,0.0084,inf
25.125,-4,3.107,0.86636,inf
25.0625,-5,2.987,1.28853,inf
25.0625,-5,0,1.43833,inf
25.125,-4,2.45,1.40655,inf
25.0625,-3,2.659,1.37478,inf
25.125,-3,2.843,0.57129,inf
25.0625,61,2.971,0.55314,inf
25.0625,70,2.867,1.14327,inf
25.125,60,2.643,1.29307,inf
25.125,3,3.748,1.28853,inf
25.0625,17,2.947,1.66076,inf
25.0625,47,6.255,1.65169,inf
25.0625,22,4.661,0.01294,inf
25.0625,4,3.107,0.34886,inf
25.125,6,3.46,2.08747,inf
25.125,9,4.325,1.54728,inf
25.125,19,0,1.34754,inf
25.125,8,3.372,-0.00522,inf
25.125,6,3.019,0.80281,inf
25.1875,6,4.958,0.62123,inf
25.125,39,0,0.92991,inf
25.125,65,2.531,1.18866,inf
25.1875,71,3.107,0.87998,inf
25.1875,70,3.38,1.11149,inf
25.1875,9,2.723,1.28853,inf
25.1875,17,3.099,0.19452,inf
25.1875,13,0,0.64846,inf
25.1875,13,3.059,0.03564,inf
25.125,13,3.259,0.78919,inf
25.1875,13,2.755,0.49866,inf
25.1875,14,3.308,1.48826,inf
25.1875,14,1.842,1.46103,inf
25.1875,18,2.707,1.57451,inf
25.1875,67,0,0.653,inf
25.1875,21,2.587,0.27169,inf
25.1875,61,3.916,0.83912,inf
25.1875,66,0,0.63031,inf
25.1875,56,3.083,0.89813,inf
25.1875,26,7.529,0.32162,inf
25.1875,21,2.763,1.03886,inf
25.1875,76,2.659,1.32938,inf
25.25,77,0,1.14327,inf
25.1875,77,4.237,0.44873,inf
25.1875,78,2.867,1.07063,inf
25.1875,78,3.131,0.4805,inf
25.1875,78,2.707,1.21136,inf
25.1875,78,2.843,1.01162,inf
25.1875,78,2.667,1.37024,inf
25.1875,79,2.659,1.43379,inf
25.1875,79,2.659,1.60629,inf
25.1875,79,2.779,1.73794,inf
25.1875,79,3.107,0.92537,inf
25.1875,80,0,0.56221,inf
25.1875,80,2.835,0.89813,inf
25.25,79,2.763,1.57905,inf
25.1875,79,3.147,1.46557,inf
25.1875,78,2.611,0.96623,inf
25.1875,77,2.843,1.07063,inf
25.1875,76,2.923,0.91175,inf
25.1875,69,2.971,0.82096,inf
25.25,48,0.416,1.23405,inf
25.25,77,2.883,1.33846,inf
25.25,67,2.955,1.28853,inf
